time;Lat;Lon
2023-03-02-1800;-5.81;-89.91
2023-03-03-0000;-6.13;-89.72
2023-03-03-0600;-6.1;-89.68
2023-03-03-1200;-5.85;-89.31
2023-03-03-1800;-5.86;-89.51
2023-03-04-0000;-6.38;-88.85
2023-03-04-0600;-6.16;-88.31
2023-03-04-1200;-5.93;-88.06
2023-03-04-1800;-6.3;-88.53
2023-03-05-0000;-6.84;-88.11
2023-03-05-0600;-6.7;-88.4
2023-03-05-1200;-6.7;-88.4
2023-03-05-1800;-7.21;-88.53
2023-03-06-0000;-7.87;-87.86
2023-03-06-0600;-7.9;-87.71
2023-03-06-1200;-7.77;-87.65
2023-03-06-1800;-7.73;-87.78
2023-03-07-0000;-7.66;-87.82
2023-03-07-0600;-7.45;-87.69
2023-03-07-1200;-7.08;-87.7
2023-03-07-1800;-7.68;-86.07
2023-03-08-0000;-6.51;-85.55
2023-03-08-0600;-6.53;-84.84
2023-03-08-1200;-6.16;-84.62
2023-03-08-1800;-6.06;-85.18
2023-03-09-0000;-6.69;-85.42
2023-03-09-0600;-7.2;-85.61
2023-03-09-1200;-7.66;-85.18
2023-03-09-1800;-7.32;-85.35
2023-03-10-0000;-7.79;-85.62
2023-03-10-0600;-8.1;-84.71
2023-03-10-1200;-8.42;-84.87
2023-03-10-1800;-8.6;-84.75
2023-03-11-0000;-8.8;-85.06
2023-03-11-0600;-9.64;-84.73
2023-03-11-1200;-9.97;-84.8
2023-03-11-1800;-10.25;-84.9
2023-03-12-0000;-10.55;-84.17
2023-03-12-0600;-10.1;-84.68
2023-03-12-1200;-10.01;-85.04
2023-03-12-1800;-9.9;-85.62
2023-03-13-0000;-9.62;-84.04
2023-03-13-0600;-9.58;-85.57
2023-03-13-1200;-9.85;-85.57
2023-03-13-1800;-10.81;-85.4
2023-03-14-0000;-9.87;-86.07
2023-03-14-0600;-10.25;-86.25
2023-03-14-1200;-10.5;-86.64
2023-03-14-1800;-10.75;-87.07
2023-03-15-0000;-11.15;-87.35
2023-03-15-0600;-11.31;-87.83
2023-03-15-1200;-11.33;-84.54
2023-03-15-1800;-11.37;-88.43
2023-03-16-0000;-11.8;-88.41
2023-03-16-0600;-12.64;-88.77
2023-03-16-1200;-12.96;-89.17
2023-03-16-1800;-13.27;-89.42
2023-03-17-0000;-13.68;-89.52
2023-03-17-0600;-13.79;-90.22
2023-03-17-1200;-13.86;-90.65
2023-03-17-1800;-13.97;-91.87
2023-03-18-0000;-14.03;-92.72
2023-03-18-0600;-14.03;-93.44
2023-03-18-1200;-13.98;-94.5
2023-03-18-1800;-14.41;-95.44
2023-03-19-0000;-14.48;-96.19
2023-03-19-0600;-14.69;-96.55
2023-03-19-1200;-14.77;-97.11
2023-03-19-1800;-15.21;-97.94
2023-03-20-0000;-15.21;-97.94
2023-03-20-0600;-15.21;-97.94
2023-03-20-1200;-15.21;-97.94
2023-03-20-1800;-15.21;-97.94
