Lat;Lon;Min_MSL
-29.25;-39.25;1011.607
-29.75;-36.75;1012.7760000000001
-28.75;-38.0;1012.1419999999999
-28.75;-37.75;1011.687
-29.0;-37.5;1011.687
-28.0;-37.0;1014.2439999999999
-27.75;-37.5;1013.686
-28.25;-37.75;1013.002
-26.5;-38.75;1013.46
-25.0;-40.5;1013.303
-25.25;-40.25;1013.779
-25.0;-40.25;1012.445
-25.5;-40.25;1012.336
-24.75;-40.75;1012.8910000000001
-24.75;-40.75;1012.34
-24.5;-40.75;1010.705
-24.75;-40.5;1011.168
-24.0;-39.75;1012.814
-24.75;-38.75;1012.1469999999999
-25.0;-39.0;1010.334
-25.0;-39.25;1009.375
-24.5;-39.5;1010.596
-24.5;-39.5;1009.066
-24.5;-39.5;1007.5880000000001
-25.0;-39.25;1007.9689999999999
-25.0;-39.5;1008.6410000000001
-25.0;-39.25;1007.875
-25.0;-39.25;1006.5889999999999
-25.0;-39.25;1005.635
-25.25;-39.25;1006.03
-25.5;-39.5;1005.08
-26.0;-39.5;1003.755
-26.25;-39.75;1004.2560000000001
-26.75;-39.75;1004.8430000000001
-27.5;-40.0;1004.398
-27.75;-40.75;1002.4069999999999
-28.25;-41.0;1001.46
-28.75;-41.5;1000.3439999999999
-29.0;-42.0;999.578
-29.5;-42.25;997.939
-30.0;-42.25;998.302
-30.25;-42.0;995.9989999999999
-31.0;-42.0;995.7389999999999
-31.5;-42.0;995.062
-31.75;-42.0;994.5269999999999
-31.75;-42.25;994.6089999999999
-32.0;-42.25;994.4889999999999
-32.25;-42.0;993.699
-32.25;-41.75;994.8380000000001
-32.25;-42.0;996.357
-32.25;-41.75;997.2539999999999
-32.25;-41.5;997.05
-32.0;-41.5;998.029
-32.25;-41.5;1000.325
-32.25;-42.0;1001.01
-32.25;-42.25;1001.0980000000001
-32.25;-42.5;1002.3789999999999
-32.5;-42.25;1003.975
-32.75;-42.5;1004.2389999999999
-32.75;-42.75;1003.6569999999999
-33.0;-43.25;1003.7439999999999
-33.0;-43.5;1005.0310000000001
-33.25;-44.0;1005.648
-33.5;-44.0;1004.7769999999999
-33.75;-44.25;1006.35
-33.75;-44.5;1007.466
-34.0;-44.5;1007.821
-34.25;-44.75;1007.153
-34.25;-44.75;1006.812
